,I-FC-R,I-FC-C,I-FC-B,I-SM-R,I-SM-C,I-SM-B,NI-FC-R,NI-FC-C,NI-FC-B,NI-SM-R,NI-SM-C,NI-SM-B
I-FC-R,0.0,0.9580078125,1.0,1.0,0.9755859375,0.1376953125,0.8388671875,0.7841796875,0.9990234375,0.986328125,0.9970703125,0.4228515625
I-FC-C,0.052734375,0.0,0.9814453125,0.5390625,0.5,0.0029296875,0.1875,0.0068359375,0.9814453125,0.384765625,0.919921875,0.080078125
I-FC-B,0.0009765625,0.0244140625,0.0,0.0244140625,0.0419921875,0.001953125,0.0048828125,0.001953125,0.4228515625,0.0322265625,0.8125,0.0048828125
I-SM-R,0.0009765625,0.5,0.9814453125,0.0,0.5,0.0029296875,0.5771484375,0.013671875,0.9814453125,0.4609375,0.9755859375,0.080078125
I-SM-C,0.0322265625,0.5390625,0.9677734375,0.5390625,0.0,0.0244140625,0.34765625,0.0966796875,0.8388671875,0.4609375,0.919921875,0.052734375
I-SM-B,0.8837890625,0.998046875,0.9990234375,0.998046875,0.9814453125,0.0,0.9814453125,0.9033203125,0.9990234375,0.9580078125,1.0,0.9033203125
NI-FC-R,0.1875,0.8388671875,0.9970703125,0.4609375,0.6875,0.0244140625,0.0,0.2783203125,0.9970703125,0.7841796875,0.9931640625,0.2783203125
NI-FC-C,0.24609375,0.9951171875,0.9990234375,0.990234375,0.919921875,0.1162109375,0.75390625,0.0,1.0,0.8623046875,0.9931640625,0.3125
NI-FC-B,0.001953125,0.0244140625,0.615234375,0.0244140625,0.1875,0.001953125,0.0048828125,0.0009765625,0.0,0.0419921875,0.8388671875,0.009765625
NI-SM-R,0.0185546875,0.65234375,0.9755859375,0.5771484375,0.5771484375,0.052734375,0.24609375,0.1611328125,0.9677734375,0.0,0.9814453125,0.052734375
NI-SM-C,0.0048828125,0.0966796875,0.2158203125,0.0322265625,0.0966796875,0.0009765625,0.009765625,0.009765625,0.1875,0.0244140625,0.0,0.013671875
NI-SM-B,0.615234375,0.9345703125,0.9970703125,0.9345703125,0.9580078125,0.1162109375,0.75390625,0.7216796875,0.9931640625,0.9580078125,0.990234375,0.0
